Analog 7 (V),Error 7 (V),Analog 8 (V),Error 8 (V),High Gain (mV),Error High Gain (mV),Green LED Voltage,Current 1Ohm (mA)
0.0,0.00033,0.0,0.0,0.00014,0.00019,0.0,3e-05
0.3093,0.0013,0.0,8.2e-05,7e-05,0.00012,0.3093,-4e-05
0.6319,0.0013,0.0,4.1e-05,4e-05,0.00014,0.6319,-6e-05
1.0571,0.0018,0.0,0.0,0.00024,0.00026,1.0571,0.00012
1.3671,0.0019,0.0,0.0,0.0002,0.00025,1.3671,8e-05
1.689,0.0026,0.0,0.0,-0.00085,0.0026,1.689,-0.00087
2.0113,0.0028,0.0025,0.0002,0.0015,1.5e-05,2.0088,0.00126
2.529,0.0037,0.3003,0.0023,0.28054,0.00022,2.2287,0.25494
3.0409,0.0058,0.7441,0.0035,0.69767,0.00019,2.2968,0.63415
3.2296,0.0067,0.9139,0.0041,0.8568,0.00019,2.3157,0.77881
